"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Lead Form Submission","6","0","Homepage - Popular, Latest & Upcoming Cars","0"
"0","","0","Lead Form Submission","7","0","Homepage - Budget Range Leads","0"
"0","","0","Lead Form Submission","7","0","New Cars - Price Range Leads","0"
"0","","0","Lead Form Submission","5","0","Popular Cars Listing - Brand Leads","0"
"0","","1","Lead Form Submission","2","0","Budget Listing Page","0"
"0","","0","Lead Form Submission","1","0","Seating Capacity - 4-Seater","0"
"0","","0","Lead Form Submission","3","0","Upcoming Cars Page","0"
"0","","0","Lead Form Submission","8","0","New Cars - Body Type Leads","0"
"3","","0","Lead Form Submission","2","0","PDP - Lead Submission","0"
"0","","0","Lead Form Submission","4","0","New Cars - Other Categories","0"
"0","","0","Lead Form Submission","3","0","Homepage - Fuel Type Leads","0"
"0","","4","Admin Panel","0","0","Admin Panel - Lead Verification","0"
"0","","0","Lead Form Submission","8","0","Popular Cars Listing - Lead Submission","0"
"0","","0","Lead Form Submission","8","0","Homepage - Body Type Leads","0"
"0","","0","Lead Form Submission","3","0","Latest Cars Listing","0"
"0","","0","Lead Form Submission","3","0","Price Page - Lead Submission","0"
"0","","0","Lead Form Submission","2","0","Specs Page - Lead Submission","0"
"0","","0","Lead Form Submission","2","0","Electric Cars Listing","0"
"0","","0","Lead Form Submission","2","0","All Brands Page","0"
"0","","0","Lead Form Submission","2","0","Brand Page","0"
"0","","0","Lead Form Submission","1","0","Body Type Listing - Sedan","0"
"0","","0","Lead Form Submission","1","0","Fuel Type Listing - Petrol","0"
