"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","135","Validate lead Name and Phone in the Admin Excel export","Car Junction - Lead Form Submission","2026-08-27","passed","2026-08-27","Car Junction - Admin Panel > Admin Panel - Lead Verification","Homepage - Fuel Type Leads","",""
"","121","Validate lead counts match the Admin Excel export","Car Junction - Lead Form Submission","2026-08-27","failed","2026-08-27","Car Junction - Admin Panel > Admin Panel - Lead Verification","Homepage - Fuel Type Leads","",""
"","10246","Submit a lead for Petrol cars","Car Junction - Lead Form Submission","2026-08-27","skipped","2026-08-27","Car Junction - Lead Form Submission > Homepage - Fuel Type Leads","Homepage - Fuel Type Leads","",""
"","3575","Leads report","Car Junction - Lead Form Submission","2026-08-27","passed","2026-08-27","Car Junction - Admin Panel > Admin Panel - Lead Verification","Homepage - Fuel Type Leads","",""
"","3267","Reject lead submission with empty mobile number","Car Junction - Lead Form Submission","2026-08-27","skipped","2026-08-27","Car Junction - Lead Form Submission > Homepage - Popular, Latest & Upcoming Cars","Homepage - Fuel Type Leads","",""
"","12224","Submit a lead for Hybrid cars","Car Junction - Lead Form Submission","2026-08-27","skipped","2026-08-27","Car Junction - Lead Form Submission > Homepage - Fuel Type Leads","Homepage - Fuel Type Leads","",""
"","2665","Reject lead submission with empty name","Car Junction - Lead Form Submission","2026-08-27","skipped","2026-08-27","Car Junction - Lead Form Submission > Homepage - Popular, Latest & Upcoming Cars","Homepage - Fuel Type Leads","",""
"","10870","Admin Login","Car Junction - Lead Form Submission","2026-08-27","passed","2026-08-27","Car Junction - Admin Panel > Admin Panel - Lead Verification","Homepage - Fuel Type Leads","",""
"","10154","Reject lead submission with mobile number less than 10 digits","Car Junction - Lead Form Submission","2026-08-27","skipped","2026-08-27","Car Junction - Lead Form Submission > Homepage - Popular, Latest & Upcoming Cars","Homepage - Fuel Type Leads","",""
"","10462","Submit a lead for Diesel cars","Car Junction - Lead Form Submission","2026-08-27","skipped","2026-08-27","Car Junction - Lead Form Submission > Homepage - Fuel Type Leads","Homepage - Fuel Type Leads","",""
"","10286","Submit a lead from the Popular cars tab","Car Junction - Lead Form Submission","2026-08-27","skipped","2026-08-27","Car Junction - Lead Form Submission > Homepage - Popular, Latest & Upcoming Cars","Homepage - Fuel Type Leads","",""
"","10214","Submit a lead from the Upcoming cars section","Car Junction - Lead Form Submission","2026-08-27","skipped","2026-08-27","Car Junction - Lead Form Submission > Homepage - Popular, Latest & Upcoming Cars","Homepage - Fuel Type Leads","",""
"","3662","Submit a lead from the Latest cars tab","Car Junction - Lead Form Submission","2026-08-27","skipped","2026-08-27","Car Junction - Lead Form Submission > Homepage - Popular, Latest & Upcoming Cars","Homepage - Fuel Type Leads","",""
